offset_um,score,n_blobs
0.0,71192.5,6
-1.0,75225.0,6
-2.0,68332.5,6
-3.0,79560.0,6
-4.0,67702.5,6
-5.0,76537.5,5
-6.0,67192.5,5
-7.0,43731.0,5
-8.0,47940.0,6
-9.000000000000002,53173.5,6
-10.0,52623.0,6
-11.0,71910.0,6
-12.0,73695.0,6
-13.000000000000002,73114.5,6
-14.0,57553.5,6
-15.0,78030.0,6
-16.0,71400.0,5
-17.0,74205.0,6
-18.000000000000004,81090.0,6
-19.0,79302.5,6
-20.0,66555.0,6
-21.0,71017.5,6
-22.0,73950.0,6
-23.0,70125.0,5
-24.0,67668.0,6
-25.0,82110.0,5
-26.000000000000004,77775.0,6
-27.0,74077.5,6
-28.0,68824.5,6
-29.0,72802.5,6
-30.0,57630.0,5
-31.0,76500.0,6
-32.0,72675.0,6
-33.0,65280.0,5
-34.0,65798.5,6
-35.0,60180.0,6
-36.00000000000001,60817.5,6
-37.0,74970.0,5
-38.0,71400.0,6
-39.0,69997.5,6
-40.0,86955.0,6
-41.0,77025.0,6
-42.0,76372.5,6
-43.0,76882.5,6
-44.0,62220.0,6
-45.0,64387.5,6
-46.0,65407.5,6
-47.0,72037.5,6
-48.0,89760.0,6
-49.0,65917.5,6
-50.0,60690.0,6
-51.00000000000001,74308.5,6
-52.00000000000001,68085.0,6
-53.0,64387.5,6
-54.0,76500.0,6
-55.0,69105.0,5
-56.0,69105.0,6
-57.0,76627.5,6
-58.0,83385.0,6
-59.00000000000001,64515.0,6
-60.0,77902.5,6
-61.0,66682.5,6
-62.0,63240.0,5
-63.0,53677.5,6
-64.0,58012.5,5
-65.0,62347.5,6
-66.0,73695.0,6
-67.0,79560.0,6
-68.0,69105.0,6
-69.0,67065.0,6
-70.0,89887.5,6
-71.00000000000001,80835.0,6
-72.00000000000001,80707.5,6
-73.0,83895.0,6
-74.0,82620.0,5
-75.0,82620.0,6
-76.0,77137.5,5
-77.0,76882.5,6
-78.0,80707.5,6
-79.0,75780.0,6
-80.0,82492.5,6
-81.0,83512.5,6
-82.0,84660.0,6
-83.0,80325.0,6
-84.0,81600.0,6
-85.0,80580.0,6
-86.0,77928.5,6
-87.00000000000001,75343.0,6
-88.0,81229.5,6
-89.0,66682.5,5
-90.0,69232.5,6
-91.0,68212.5,6
-92.0,56482.5,6
-93.0,64132.5,6
-94.0,60052.5,6
-95.0,66427.5,5
-96.0,60817.5,5
-97.0,74842.5,6
-98.0,64642.5,6
-99.0,64387.5,6
-100.0,83002.5,6
-101.0,84150.0,6
-102.00000000000001,70861.0,6
-103.00000000000001,64770.0,6
-104.00000000000001,54697.5,5
-105.0,58395.0,5
-106.0,60052.5,6
-107.0,79305.0,5
-108.0,70762.5,6
-109.0,64431.0,6
-110.0,79815.0,6
-111.0,81727.5,6
-112.0,73950.0,6
-113.0,87847.5,6
-114.0,64515.0,6
-115.0,60817.5,6
-116.0,61710.0,6
-117.0,65280.0,6
-118.00000000000001,62602.5,6
-119.00000000000001,65280.0,5
-120.0,66555.0,6
-121.0,50617.5,5
-122.0,58395.0,6
-123.0,55335.0,6
-124.0,55462.5,6
-125.0,61072.5,6
-126.0,75480.0,6
-127.0,63367.5,6
-128.0,68646.0,6
-129.0,67830.0,6
-130.0,76372.5,6
-131.0,75990.0,6
-132.0,63622.5,6
-133.0,68467.5,6
-134.0,92947.5,6
-135.0,76500.0,6
-136.0,65280.0,6
-137.0,69615.0,6
-138.0,64897.5,6
-139.0,71910.0,6
-140.0,70762.5,5
-141.0,71017.5,5
-142.00000000000003,76755.0,6
-143.00000000000003,76372.5,6
-144.00000000000003,59925.0,6
-145.0,71017.5,5
-146.0,64260.0,6
-147.0,75735.0,6
-148.0,64642.5,5
-149.0,76245.0,6
-150.0,78285.0,6
-151.0,67702.5,6
-152.0,53805.0,6
-153.0,47706.0,6
-154.0,61327.5,6
-155.0,64897.5,6
-156.0,77775.0,6
-157.0,66300.0,6
-158.0,75480.0,6
-159.0,60435.0,6
-160.0,64770.0,5
-161.0,74587.5,6
-162.0,78667.5,5
-163.0,79560.0,6
-164.0,75607.5,6
-165.0,69487.5,6
-166.0,68212.5,6
-167.0,66300.0,6
-168.0,75735.0,6
-169.0,77010.0,6
-170.0,64387.5,6
-171.0,75352.5,6
-172.0,77520.0,6
-173.00000000000003,79432.5,6
-174.00000000000003,63877.5,6
-175.00000000000003,80452.5,6
-176.0,83895.0,6
-177.0,82237.5,6
-178.0,72802.5,6
-179.0,69232.5,5
-180.0,66555.0,6
-181.0,78667.5,6
-182.0,65407.5,6
-183.0,67447.5,6
-184.0,78412.5,6
-185.0,81855.0,6
-186.0,81345.0,6
-187.0,69487.5,6
-188.0,81982.5,6
-189.0,82110.0,6
-190.0,85425.0,6
-191.0,84150.0,6
-192.0,71145.0,6
-193.0,79177.5,6
-194.0,72675.0,6
-195.0,74205.0,5
-196.0,72420.0,5
-197.0,81867.0,6
-198.0,75097.5,6
-199.0,84022.5,6
-200.0,83876.0,6
-201.0,88230.0,6
-202.0,89887.5,6
-203.0,83385.0,6
-204.00000000000003,79432.5,6
-205.00000000000003,87082.5,6
-206.00000000000003,73695.0,5
-207.00000000000003,84022.5,6
-208.00000000000003,84915.0,6
-209.0,69360.0,6
-210.0,64642.5,6
-211.0,58905.0,5
-212.0,82365.0,5
-213.0,79177.5,5
-214.0,75097.5,6
-215.0,65917.5,6
-216.0,77647.5,6
-217.0,71527.5,6
